127.0.0.1_29002 -> 18:32:34.856360 raft.go:160: logger initialized
127.0.0.1_29002 -> 18:32:34.856746 raft.go:441: Soy follower
127.0.0.1_29002 -> 18:32:34.954896 raft.go:441: Soy follower
127.0.0.1_29002 -> 18:32:35.008793 raft.go:441: Soy follower
127.0.0.1_29002 -> 18:32:35.063355 raft.go:441: Soy follower
127.0.0.1_29002 -> 18:32:35.117781 raft.go:441: Soy follower
127.0.0.1_29002 -> 18:32:35.173873 raft.go:441: Soy follower
127.0.0.1_29002 -> 18:32:35.226925 raft.go:441: Soy follower
127.0.0.1_29002 -> 18:32:35.280639 raft.go:441: Soy follower
127.0.0.1_29002 -> 18:32:35.333818 raft.go:441: Soy follower
127.0.0.1_29002 -> 18:32:35.387002 raft.go:441: Soy follower
127.0.0.1_29002 -> 18:32:35.440976 raft.go:441: Soy follower
127.0.0.1_29002 -> 18:32:35.495053 raft.go:441: Soy follower
127.0.0.1_29002 -> 18:32:35.549237 raft.go:441: Soy follower
127.0.0.1_29002 -> 18:32:35.603732 raft.go:441: Soy follower
127.0.0.1_29002 -> 18:32:35.657166 raft.go:441: Soy follower
127.0.0.1_29002 -> 18:32:35.713205 raft.go:441: Soy follower
127.0.0.1_29002 -> 18:32:35.767208 raft.go:441: Soy follower
127.0.0.1_29002 -> 18:32:35.821619 raft.go:441: Soy follower
127.0.0.1_29002 -> 18:32:35.875304 raft.go:441: Soy follower
127.0.0.1_29002 -> 18:32:35.929912 raft.go:441: Soy follower
127.0.0.1_29002 -> 18:32:35.983164 raft.go:441: Soy follower
127.0.0.1_29002 -> 18:32:36.036355 raft.go:441: Soy follower
127.0.0.1_29002 -> 18:32:36.089366 raft.go:441: Soy follower
127.0.0.1_29002 -> 18:32:36.142685 raft.go:441: Soy follower
127.0.0.1_29002 -> 18:32:36.197575 raft.go:441: Soy follower
127.0.0.1_29002 -> 18:32:36.250382 raft.go:441: Soy follower
127.0.0.1_29002 -> 18:32:36.303702 raft.go:441: Soy follower
127.0.0.1_29002 -> 18:32:36.358126 raft.go:441: Soy follower
127.0.0.1_29002 -> 18:32:36.412452 raft.go:441: Soy follower
127.0.0.1_29002 -> 18:32:36.465421 raft.go:441: Soy follower
127.0.0.1_29002 -> 18:32:36.521677 raft.go:441: Soy follower
127.0.0.1_29002 -> 18:32:36.575031 raft.go:441: Soy follower
127.0.0.1_29002 -> 18:32:36.875599 raft.go:452: Soy un candidate
127.0.0.1_29002 -> 18:32:36.878336 raft.go:473: Soy un leader
127.0.0.1_29002 -> 18:32:36.878427 raft.go:426: Enviando heartbeat a nodo  0
